"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNF212",165.490730954236,-3.43713854769591,0.303165415796687,-11.337502131183,8.55515657428315e-30,2.64144211492648e-27
"STIL",1018.17191607116,-1.48450255776794,0.131014859922229,-11.3307952903139,9.23622641237227e-30,2.8025577350231e-27
"FZD6",2601.20507561447,-1.56836353973666,0.138491730486779,-11.3246006402266,9.91296186337691e-30,2.95691891243339e-27
"RUNX1",1989.49824849229,-1.50317141932675,0.132923477790228,-11.3085471755333,1.19044305273713e-29,3.49176788085346e-27
"NXPH4",68.0656470853648,-3.51950368672717,0.311399188851958,-11.3022249662968,1.27934900853093e-29,3.69102675428456e-27
"PSMC3IP",145.584650476392,-1.84172287855791,0.163326298751732,-11.2763400177057,1.71743533077352e-29,4.87502328811019e-27
"PRELID2",234.274990206349,-1.98429603246361,0.176627921960105,-11.2343281313801,2.76589923220333e-29,7.72651755357879e-27
"CXADR",1521.9856441456,-1.9982532775344,0.178146504235692,-11.2169098468004,3.3683559611407e-29,9.11995331694081e-27
"EPCAM",735.391199187226,-3.23566182527005,0.288440883582935,-11.2177642263383,3.3359780872569e-29,9.11995331694081e-27
"MYO3A",472.690325667903,-3.6103064710683,0.322970485200259,-11.178440868458,5.1995424183184e-29,1.38646586393917e-26
"ATP1A1",11992.8632592871,-1.44698453737174,0.129554002832688,-11.1689681965323,5.78489471437493e-29,1.5195277922132e-26
"C19orf57",157.015143339569,-2.47601416081761,0.221940045341143,-11.1562298593376,6.67631808859071e-29,1.72789003001629e-26
"XPR1",1785.49330123682,-1.21009354513963,0.108898080912204,-11.1121659353688,1.09471508002992e-28,2.79215807151399e-26
"SDS",72.025349964476,-3.28843872316232,0.296008807747155,-11.1092597149043,1.13093169639391e-28,2.84332384640521e-26
"ASTN2",284.883842393137,-2.89230059040099,0.260487371834263,-11.1034196016275,1.20734257003424e-28,2.9926791394412e-26
"RFC5",818.226225126321,-1.26495294670045,0.113949961332165,-11.1009510833715,1.24116014636096e-28,3.03377464108424e-26
"CCNE2",771.938825012988,-1.64953209329989,0.148885791047178,-11.0791774130897,1.58320392535694e-28,3.81682272361051e-26
"CDC7",760.074171544325,-1.40865663014948,0.12745161441506,-11.0524816544264,2.13237392230653e-28,5.07130387279359e-26
"FIGNL1",1378.11605246106,-1.07646805048632,0.097730629260275,-11.014643603895,3.24819540891046e-28,7.6219988001887e-26
"STK3",751.696733878888,-1.1833403527934,0.107474037353126,-11.0104764084121,3.40199995208946e-28,7.87786804695032e-26
"PLAUR",556.646609481221,-2.3892775874304,0.217035532073908,-11.008693206128,3.47000209022837e-28,7.93098269947131e-26
"EGFL6",205.834968853038,-2.87210856348184,0.261461658349466,-10.9848173595037,4.5215221844504e-28,1.02018293492491e-25
"FAP",509.222152159826,-3.87074920037641,0.352520763911179,-10.9802020097508,4.75858510170779e-28,1.0600802431007e-25
"WDHD1",1126.90739112672,-1.38105012935164,0.125911933308996,-10.9683815747825,5.42344485025037e-28,1.19309007399445e-25
"NEIL1",124.056419623689,2.38551199016527,0.21770906695199,10.9573387253151,6.12748017275243e-28,1.33132745136136e-25
"COL4A1",7863.32043076044,-2.66211889899806,0.243632556319611,-10.92677817453,8.58423224769813e-28,1.83072646466372e-25
"SPP1",2967.80333429977,-4.31344633816356,0.394778181680108,-10.9262531171461,8.63403014757025e-28,1.83072646466372e-25
"ADAMTS2",383.598208117694,-2.96985072776196,0.272007176899036,-10.9182807660414,9.42631927216894e-28,1.97492610560597e-25
"DTX1",267.382569317591,3.04312485241423,0.278870721051122,10.9123139243304,1.0066100445275e-27,2.0841564910164e-25
"FN1",37475.4028215717,-3.60482459136699,0.33043758664531,-10.9092450043717,1.04117443298875e-27,2.1306545169964e-25
"ELL3",464.599988538355,2.37319618029109,0.217843475085661,10.8940429790606,1.23053414695127e-27,2.48921499450521e-25
"EIF2AK2",1582.4763797127,-1.22574757825117,0.112629979369053,-10.8829601596106,1.38975155833714e-27,2.77934519036082e-25
"GAS2L3",212.05066363067,-1.43636229104913,0.132110264348107,-10.8724503590754,1.55955107278881e-27,3.08388082359667e-25
"BRIP1",993.686532839963,-1.52322695052581,0.140462780891216,-10.8443456754961,2.12148430318547e-27,4.14844469464011e-25
"PXK",463.60035118906,1.37038382498351,0.126434578492938,10.8386791122972,2.25706260873392e-27,4.36505987374817e-25
"ESM1",193.476986134464,-4.13533234335116,0.382054628708273,-10.8239294399671,2.65159648627932e-27,5.07233114804672e-25
"FCGR3A",1158.017753894,-2.85616242502483,0.264346176294115,-10.8046292368044,3.2727646898371e-27,6.19326728778959e-25
"MELK",810.006264072759,-1.53187542073775,0.142132813786681,-10.7777745330283,4.38363018428635e-27,8.20718166098462e-25
"ZNF367",846.688065273786,-1.69103792402903,0.156934378078223,-10.7754460478133,4.49597641250334e-27,8.32891461933119e-25
"SH3BP4",1036.60707762748,-1.40492626492216,0.130435987559963,-10.7710018623219,4.71838590964041e-27,8.64988266914183e-25
"PIK3R3",1424.00881082069,-1.74100304922365,0.161870666103863,-10.7555191507431,5.58188137480785e-27,1.01273742593034e-24
"SERPINE1",1726.91105178142,-3.61531785682378,0.336491912228056,-10.7441448826667,6.31443243205994e-27,1.13395608542676e-24
"TLX3",16.6031798501528,-5.85859799318381,0.54540799047797,-10.7416797983645,6.48534948263652e-27,1.15288551055475e-24
"SSX2IP",1293.77243532468,-1.62534880711846,0.151572114134889,-10.723270678088,7.91538109849185e-27,1.39302791952358e-24
"COL5A1",3641.86124040186,-3.19716542491095,0.298411859946909,-10.7139355167712,8.75586813956334e-27,1.52568835037797e-24
"SNX22",512.352778821637,2.0382831429309,0.190274023054652,10.7123563700834,8.90654757063302e-27,1.53672873230952e-24
"NETO2",582.923234465501,-1.7595530065908,0.165305256733843,-10.6442652905094,1.85441386694023e-26,3.16852714993021e-24
"MFAP2",211.947923332483,-3.20590648747567,0.30134120907102,-10.6387921431619,1.96662119166258e-26,3.32793907231439e-24
"TNFAIP6",123.456846853474,-3.71818156459603,0.349912300506141,-10.6260384651176,2.25488395523894e-26,3.77940025983334e-24
"PALB2",864.254807964864,-0.914151618187365,0.0861722493151428,-10.608422380205,2.72307982970784e-26,4.52108320028568e-24
"IQGAP3",751.797174761463,-1.99606044023164,0.188448515778366,-10.5920730231657,3.24328535871079e-26,5.33444663812628e-24
"KIAA1841",501.795714615853,-1.37679015963236,0.130150188962605,-10.5784722297095,3.7502324622823e-26,6.11114269478762e-24
"EXO1",507.494295151261,-1.5134265202647,0.143427023644332,-10.5518923966356,4.97841329875208e-26,8.038082169242e-24
"KCNMB2",68.8712549252307,-3.58531185254844,0.339838688891821,-10.5500402683396,5.07753287551666e-26,8.12359100692889e-24
"ATAD2",3864.32496297623,-1.44623282009764,0.13725434082978,-10.5368821951594,5.84030839615663e-26,9.25978265441086e-24
"MMP13",295.170570439097,-5.90441358003075,0.561425736384207,-10.516820297654,7.22715209979548e-26,1.13563080182411e-23
"LAMA3",4526.33557119978,-2.14349608279182,0.203841803450449,-10.5154882193381,7.3300172942718e-26,1.14160154302557e-23
"DEF8",818.954258040718,1.36685027954032,0.130220794570985,10.4964056166562,8.97321056712113e-26,1.38525905939267e-23
"ZIC2",81.4416096472524,-5.0784320194829,0.48390938638943,-10.4945929182618,9.14711399517183e-26,1.39982660174808e-23
"CHAF1B",412.443018683347,-1.66498079540775,0.158710067748218,-10.490706853261,9.53126509931154e-26,1.44604081450676e-23
"IFT81",346.058204932333,-1.35546180092397,0.129310304808142,-10.4822411712281,1.04243649695423e-25,1.56802050511945e-23
"ITGB4",4837.51735313647,-2.21083483997325,0.211154067659171,-10.470245089201,1.18336222547721e-25,1.7649145598452e-23
"KRT17",14086.6837201726,-3.27544744316151,0.31336241596329,-10.4525854930389,1.42584217954821e-25,2.1086887830142e-23
"STAG3",863.467194564733,-3.0757253691092,0.295219798698097,-10.4184251282366,2.04308160091986e-25,2.99634942454905e-23
"SEMA3C",1300.41116221346,-2.95843167179341,0.284086178691504,-10.4138528858387,2.1436620062913e-25,3.11787666518352e-23
"C9orf84",235.649118524241,-2.38772585749948,0.230750761344742,-10.3476402139892,4.2892750991789e-25,6.18745512052865e-23
"HSF2BP",35.3100292661767,-2.76894562972596,0.268321856227621,-10.3194934197869,5.75258642297789e-25,8.23087548438926e-23
"ITGB6",2247.63210876188,-2.52940547682174,0.245313487131481,-10.3109107713513,6.29023484933502e-25,8.92756799301993e-23
"CNTLN",967.335618586243,-1.64764940571559,0.159821094260796,-10.3093362821491,6.39413747656528e-25,9.00243403600579e-23
"RGS13",354.856043158476,3.7530064198346,0.364254022534556,10.3032669171926,6.81082021567639e-25,9.51298610918164e-23
"CCDC34",299.920612531596,-1.21109274839232,0.117608521871512,-10.297661505477,7.219497001222e-25,1.00044037578351e-22
"TREM2",79.6725289552685,-3.30349784091257,0.321405907800851,-10.2782735498424,8.82950039785531e-25,1.21398732423325e-22
"TAF7L",120.204115818614,-4.79799156497395,0.466848754850237,-10.2774003681623,8.90983989610528e-25,1.21553699481827e-22
"IGSF9",507.650179074824,-2.78349130693161,0.270979322713635,-10.2719693851813,9.42604799173215e-25,1.27606937389611e-22
"PTK7",1410.34609244936,-1.70371703484226,0.166005334092053,-10.2630258489014,1.0341448214022e-24,1.389306466554e-22
"LAMB1",2894.03062694677,-1.70808991072348,0.166505352949713,-10.2584684544006,1.08412498250595e-24,1.4454178459941e-22
"GPR137C",106.507489284302,-2.27022563256544,0.221497365737994,-10.2494475498677,1.19021852989572e-24,1.57493653440863e-22
"RAB23",554.648475852857,-1.41073116958818,0.137661793947473,-10.2478046314467,1.21061921312234e-24,1.58997668147314e-22
"TMEM67",318.063430483367,-1.42083981461893,0.138874932828501,-10.2310747208321,1.43913318676972e-24,1.87609666325632e-22
"KLF11",745.636009463654,-1.16528674802025,0.113915303507947,-10.2294135391471,1.46403260716059e-24,1.89452278333964e-22
"APOL1",4082.44528463244,-3.12762478335832,0.305826373390982,-10.2267987835039,1.50409240248783e-24,1.93215490448053e-22
"DEPDC4",23.70751251357,-1.94755884817166,0.19133305009489,-10.1788940656399,2.46345102297997e-24,3.14161409807423e-22
"RAD54B",421.64634136178,-1.52819724927604,0.150190954330699,-10.1750285567209,2.56324794288916e-24,3.24536694582059e-22
"MEF2B",138.401250490732,2.82517461774445,0.277744282623333,10.171855172176,2.6481614267069e-24,3.3289280677582e-22
"LMO2",450.111611854408,1.72384586580194,0.169555378402472,10.1668604207297,2.78748874744674e-24,3.47922088413583e-22
"C12orf56",92.9761582018806,-2.92392771849518,0.287836237375795,-10.1583030168566,3.04327091997202e-24,3.77172710708363e-22
"ANKRD13A",2964.37693956106,0.926457166484529,0.0914177739975162,10.134322090469,3.89062787033397e-24,4.78819299930123e-22
"OLR1",189.455623599153,-3.21602316863487,0.317374960382335,-10.1331975426183,3.935647259721e-24,4.80996223082152e-22
"RCN1",1543.97911355863,-1.04230427484532,0.103155816872307,-10.1041735352215,5.29400498297543e-24,6.42546163416445e-22
"COL8A1",454.641196273486,-4.0449894422056,0.400430766877166,-10.1015950241566,5.43508900577962e-24,6.55151585018599e-22
"SCHIP1",297.698911929865,-2.38772492429065,0.23683914208971,-10.0816313689661,6.66108614784493e-24,7.97472483781789e-22
"CKS1B",609.280604407656,-1.37614095950439,0.136696281191396,-10.0671426282444,7.71879972924014e-24,9.17859165100657e-22
"ADORA2B",253.283110527436,-1.7406672432471,0.173857148402229,-10.0120544898157,1.34921081122613e-23,1.59360812528649e-21
"LRRCC1",791.299752218248,-1.30428406861797,0.130510167908546,-9.99373527380594,1.62346299691024e-23,1.90475501884155e-21
"MSR1",784.53591041368,-2.72362128151625,0.273285837007315,-9.96619990022881,2.14270684650545e-23,2.49731773454632e-21
"POLQ",1268.60141468493,-1.53295612166527,0.153900681826897,-9.96068440677539,2.2649805121355e-23,2.62246000217583e-21
"DCBLD2",1657.25310756906,-1.78896521471564,0.17961879830227,-9.95978834968647,2.28548745620439e-23,2.6289080876955e-21
"LYL1",183.668269624543,2.4155573344387,0.243075479139558,9.93747844492306,2.85974289116922e-23,3.26809189231734e-21
"XKR9",117.3003492672,-2.27154416368777,0.228738038396808,-9.93076700145148,3.05893426285589e-23,3.47317316722585e-21
"INHBA",384.705415158292,-3.72395568365324,0.375033624245883,-9.92965815036281,3.0931413999594e-23,3.48949971140291e-21
"TUSC3",593.838257504814,-2.37782206099538,0.23965451417848,-9.92187470011318,3.34415122783161e-23,3.74864442411519e-21
"NFIL3",692.222844945081,-1.43509310300178,0.144656504923416,-9.92069526193478,3.38390726870673e-23,3.76920152037783e-21
"KIF4A",726.036627187698,-1.3341207271595,0.134516629618485,-9.91788696269986,3.4804618782118e-23,3.85236783614147e-21
"MUSK",35.1080937231701,2.94096273222787,0.296810211269149,9.90856318471131,3.82101472870551e-23,4.20287738815552e-21
"FOXD3",23.249305681996,-3.86297069636864,0.390007608763813,-9.90485982725542,3.96525705337383e-23,4.33444465107615e-21
"KCNG3",79.2100521976442,-3.11333600550355,0.314863412300349,-9.88789387359407,4.69807650262121e-23,5.10379310923646e-21
"MMP14",4683.22027131483,-1.39619152750639,0.141638551706853,-9.85742589627767,6.36604848408559e-23,6.87337958720382e-21
"ADAMTS12",384.477868529366,-3.1351930585831,0.318965554676186,-9.82925275980332,8.42415014399892e-23,9.04003770635592e-21
"COL5A2",6674.09910484971,-2.87210143967241,0.292436276686803,-9.82128986257202,9.11694429578646e-23,9.72418804009369e-21
"SERPINA9",177.419581687763,4.24282085737863,0.432596041270862,9.80781249156663,1.04202925099228e-22,1.10473932459115e-20
"FRRS1",702.407916727101,-1.56599024418785,0.159715179564782,-9.8048929879747,1.07260634176292e-22,1.13034724602908e-20
"POLE2",232.713534070488,-1.30624960324511,0.133295991793946,-9.79961652008529,1.13013877095607e-22,1.18388763274142e-20
"ALG1L",84.9448556429939,-3.62605072375733,0.370280745629504,-9.79270665989608,1.21012288709342e-22,1.26017471538208e-20
"KIF23",963.139953466294,-1.15806389730567,0.118460613786584,-9.77594037619975,1.42824752180008e-22,1.47857224330351e-20
"FOXRED2",685.241205192125,-1.9828818010861,0.203153540091196,-9.7605082352785,1.663196124437e-22,1.71173032713256e-20
"APOBEC3B",269.204699900853,-2.39286335562956,0.246015745146033,-9.72646427247646,2.32535340642245e-22,2.37929619765283e-20
"GPR161",196.999355887658,-2.06360442938565,0.212349081484244,-9.71798142455713,2.52742029118713e-22,2.57110229506371e-20
"FANCC",551.64252325064,-1.36749231152329,0.14076669593337,-9.71460118784471,2.61269795185259e-22,2.64257880773872e-20
"PODXL2",404.559131928043,-1.97429251052558,0.203284037713032,-9.71198984798113,2.68052192740353e-22,2.69568602287856e-20
"RIMS2",297.400662788007,-3.43695990080092,0.354176373235235,-9.7040914090511,2.89645354604079e-22,2.89628897481658e-20
"ZYG11A",275.818564514933,-1.93603732152614,0.199921008797368,-9.68401136615126,3.52603324846646e-22,3.50591294574922e-20
"DONSON",496.991118098599,-1.14086725937296,0.117952477640855,-9.67226193286673,3.95537540084715e-22,3.91071076851175e-20
"DYRK3",295.54374670083,-1.78111425246573,0.18444936129166,-9.65638612133413,4.61870238439006e-22,4.54103593647378e-20
"LIN9",494.013404091607,-1.20866066611453,0.125254110092326,-9.64966870327537,4.93147884534066e-22,4.82161645550835e-20
"GINS1",669.523026577292,-1.3793532086649,0.142997634989369,-9.64598616450856,5.11174745634291e-22,4.97025654608723e-20
"VCAN",7601.07478907848,-3.0348632013842,0.314730491195321,-9.64273651992863,5.27623156478644e-22,5.1019999620152e-20
"ANKRD50",1841.89718408015,-1.38760897596121,0.143939606036805,-9.64021657532118,5.4073770046141e-22,5.20024196197834e-20
"SULF1",3790.09397289025,-2.99731764973479,0.311013640681715,-9.63725463347822,5.56565411247627e-22,5.32336666986249e-20
"HELLS",1820.77958736698,-1.41766461942438,0.147285692529557,-9.62527041884864,6.25422010349283e-22,5.94962268115515e-20
"HHEX",286.701561859384,1.96094952224437,0.20377514051157,9.6231047483097,6.3873513300986e-22,6.01290526321366e-20
"ZNF697",244.813750855628,-1.63090854734197,0.169478904352233,-9.62307700522074,6.38907485778143e-22,6.01290526321366e-20
"ASS1",2523.62552787747,-3.25600398235116,0.338478666767846,-9.61952495689889,6.61358861323529e-22,6.19109287257063e-20
"RSRC1",794.835304648753,-1.18468846990301,0.12326848648812,-9.6106353185182,7.21027110849837e-22,6.7139450390721e-20
"PTGFRN",3385.56760834311,-1.59229081694921,0.16602613593799,-9.59060335864182,8.75713944743826e-22,8.11141563870873e-20
"CIT",1206.10649439732,-1.59347404955811,0.166229339814072,-9.58599758225843,9.15684148504906e-22,8.39329444246762e-20
"FHAD1",53.840977105066,-2.45132221037129,0.255705647221385,-9.58650009105581,9.11236964689092e-22,8.39329444246762e-20
"GPNMB",10689.3981252322,-1.74536554003371,0.182314976401987,-9.57335252692213,1.03494098405151e-21,9.39356592762665e-20
"PTPRK",2562.00204569469,-1.16799363555992,0.122005355049072,-9.57329811539946,1.03548598781725e-21,9.39356592762665e-20
"CENPW",475.751620755339,-1.94221678525593,0.203118593143263,-9.5619842339399,1.15520291786556e-21,1.04258544366749e-19
"MCM4",4073.90515796793,-1.2595658199703,0.131813727503175,-9.55564980847659,1.22810771045932e-21,1.10272793859049e-19
"PCSK9",302.756934016818,-3.29481977682693,0.345025879105203,-9.54948592659712,1.30341438663114e-21,1.16440557311276e-19
"OAS3",3515.89945981122,-2.06774797602621,0.216693997474618,-9.54224851691343,1.39768458816619e-21,1.24231571046145e-19
"CDC6",705.695291226881,-1.32283356317795,0.138758614632697,-9.53334368954012,1.52297184035651e-21,1.34687343811227e-19
"HOXD11",53.9290203961731,-6.0955976900182,0.641433258120981,-9.50308954648639,2.03753560699101e-21,1.79292945737174e-19
"POLD4",579.654273313045,1.22124246682452,0.128533826459517,9.5013312873647,2.0722387369141e-21,1.81439450402743e-19
"CLSPN",850.461822636398,-1.46625288564028,0.154473591070874,-9.49193241042444,2.26790409100817e-21,1.97588337117093e-19
"NTS",2527.90785146022,-6.31849283762557,0.665939736674154,-9.48808501679368,2.35317333076208e-21,2.04007376591536e-19
"COL3A1",47072.1496986798,-3.04824985736633,0.321607128952988,-9.47817875583197,2.58759722480264e-21,2.23230997839714e-19
"PLAT",1681.29407711896,-3.05868484599806,0.322863829504131,-9.47360641387339,2.70345094275763e-21,2.32087966544349e-19
"UBE2T",318.337186481334,-1.44859447885304,0.152921981898794,-9.47276814533927,2.72524076078759e-21,2.32822874510198e-19
"TNS4",1407.67878368388,-2.55347659164384,0.269746969647392,-9.46619194640702,2.90231801698366e-21,2.46753114883553e-19
"CENPF",7078.45728513466,-1.41282370331466,0.149560891695208,-9.44647820229547,3.50422717112623e-21,2.9513399297545e-19
"ENAH",3170.1163124362,-1.78100583700284,0.188536899707833,-9.44645764178148,3.50491530949878e-21,2.9513399297545e-19
"CD109",3230.38783619465,-2.11794244703853,0.225013924535582,-9.41249503296234,4.84496937048763e-21,4.0603150452958e-19
"DST",36499.3134346914,-1.9058114622655,0.202601101547477,-9.40671816544344,5.11869622594209e-21,4.26938080001681e-19
"COL4A2",5304.86408821006,-2.29366676317033,0.244051184055689,-9.39830213094541,5.54506036037012e-21,4.60318477746008e-19
"SERPINH1",1732.79223774994,-1.71262318138936,0.182274587990214,-9.39584173676097,5.67621259315159e-21,4.68993734398473e-19
"ZNF532",2620.23219838368,-1.21844056275901,0.129698463190263,-9.39441017872051,5.75392932405138e-21,4.73193468102712e-19
"SLC28A3",185.483249485657,-2.70424838205525,0.288018496066695,-9.38914833243571,6.0487358738242e-21,4.95124198341545e-19
"LSR",836.703978793131,-1.28619775971458,0.137002039282001,-9.38816507006229,6.10545902856953e-21,4.97453580758311e-19
"P2RX5",501.122654352696,2.54763324749142,0.271601293717561,9.38004827819675,6.594252733929e-21,5.34803013200076e-19
"NOX4",154.694858691075,-2.80904264844404,0.299632857795801,-9.37494862582261,6.92094660905571e-21,5.58723575104456e-19
"EPPK1",1870.85691222266,-2.30293619525847,0.245746891614738,-9.37117120841889,7.17320695734504e-21,5.73823951101433e-19
"RALGPS2",2537.5469115007,1.48527299306757,0.158485737778015,9.37165081155718,7.14068134142586e-21,5.73823951101433e-19
