ADH1B,ALX1,APOBEC3B,ARG1,ASTN2,BNC1,BOLL,CDH3,CHST8,CLGN,CNFN,COL1A1,COL21A1,COL3A1,COL5A2,CRTAC1,CXCL3,DLGAP1,DSG2,ECT2,ERC2,F10,FAT1,GAD1,GAST,GDF7,GFRA2,GREM1,HBA1,HOXC11,HOXD11,HSF2BP,HSFY2,HTRA3,IDO1,ITPKA,KCNJ12,KRT17,KRT8,LAMA3,LAMC2,LCN10,LGI1,MAP7D2,MASP1,MESP2,MYO10,NAT8B,NLGN4Y,NPNT,PCNAP1,PLAU,PLOD2,PTGS2,PTPRZ1,PXDN,RASGRP2,RPTN,SCARA5,SCN7A,SDS,Sep-01,SLC28A3,SNORA56,SORCS1,SPP1,TCAM1P,TMSB15A,TNFRSF12A,TNFSF18,VCAN,VEGFA,VSIG8,Class
16,3,732,11,142,4471,17,13862,5,27,529,40705,23,149470,23576,5,390,5,9012,2985,8,33,30708,17,1,4,40,15920,224,4,0,44,3,1527,728,5,44,59347,1886,17839,48623,13,3,4,130,5,5113,5,497,2027,8,6471,2628,1918,3328,4457,32,108,73,31,223,77,280,0,19,4139,42,4,1307,21,26212,4491,4,HNSCC
82,0,426,18,476,995,27,2511,15,21,839,19619,116,26462,4366,6,9,52,5625,1608,214,27,12424,92,0,12,92,2758,14,12,9,24,9,476,1498,3,21,9321,2609,6822,3747,24,18,88,134,9,1251,6,369,589,3,808,577,580,2587,644,357,473,46,24,67,607,403,0,153,2105,58,9,146,3,7362,860,0,HNSCC
17,47,530,8,416,6400,34,4731,2,88,392,156137,95,176454,23003,5,10,5,11826,6368,238,15,25321,91,0,2,7,4042,0,14,5,56,0,1394,1899,37,34,26412,7561,12385,22873,8,7,279,47,37,3015,0,25,3681,3,5379,3764,110,5265,3184,10,34,22,25,69,61,377,2,30,2118,203,8,534,44,28270,3752,0,HNSCC
6,43,260,12,418,2790,79,6896,1,136,553,3569,147,7580,1886,6,88,9,3758,3327,910,5,21982,28,2,7,6,442,2,5,173,86,3,65,548,18,1,10638,9248,5989,5766,2,1,420,87,39,1694,28,484,3133,10,5265,2277,364,1841,238,55,59,3,3,65,137,587,2,6,4768,128,55,89,35,1278,4542,58,HNSCC
90,2,186,5,576,1915,75,940,1,49,102,37619,96,93247,9312,10,18,8,4329,7153,434,15,13342,24,25,5,46,2370,1,4,6,16,0,264,324,102,8,22485,1307,3113,5353,11,2,333,35,27,2261,5,207,2311,5,1844,4862,159,5907,2063,447,19,13,3,237,588,56,2,29,4161,144,57,406,57,16594,2875,3,HNSCC
83,2,185,11,248,1731,68,3847,15,16,97,16212,742,21114,2330,5,52,8,4410,2691,266,45,19152,178,11,3,63,649,15,2,71,34,3,222,361,31,70,8262,1679,3849,7615,70,3,277,264,2,3128,10,178,1227,10,1369,1836,790,1711,1026,907,264,275,81,50,806,188,0,115,321,157,206,304,2,4559,1893,8,HNSCC
50,87,279,2,474,3555,41,5445,0,382,36,11563,163,25825,4464,36,7,135,1709,2642,132,12,21151,48,0,0,36,1500,67,7,5,79,34,320,2986,7,36,1000,8212,5231,2591,34,7,933,123,17,1971,2,1594,2683,17,2465,2149,180,2685,704,132,55,70,38,75,337,298,10,70,6935,55,91,58,50,6353,1546,2,HNSCC
8,0,475,27,50,1713,27,1745,0,27,1628,39260,866,173207,37419,5,13,3,4658,5663,0,13,15805,2,0,3,5,5015,0,2,0,15,0,376,105,3,12,36212,13,3554,3347,3,3,302,192,5,1225,0,568,2195,5,1831,4160,429,14280,2200,2,2145,72,7,214,20,519,2,8,34881,70,224,309,469,28786,870,82,HNSCC
15,0,510,4,1163,1433,22,7565,4,315,502,54721,918,274077,33290,4,835,46,7990,2333,30,28,16398,327,0,2,4,6080,59,46,4,71,0,684,532,43,65,28975,2859,9980,30838,2,0,237,143,17,2413,0,760,5592,7,22923,2000,4294,356,3738,27,979,351,2,69,101,663,0,0,1285,149,23,621,0,22217,5003,6,HNSCC
12,30,160,3,465,3002,29,4601,0,98,37,7095,499,13394,2249,7,12,10,6856,5193,343,3,10406,157,0,2,0,469,5,24,195,30,0,134,1261,25,2,4450,16618,6303,4519,2,0,470,14,7,1613,0,183,2190,12,2886,7398,503,3120,228,25,3,2,5,144,118,151,2,7,8577,63,93,305,12,2117,2416,7,HNSCC
53,2,252,8,768,61,78,3261,5,130,1864,58258,153,95440,8080,23,69,8,2504,2466,17,13,23255,116,5,6,19,238,53,69,164,91,9,285,133,80,268,24548,1459,4773,14008,9,3,228,25,2,2089,3,629,3208,16,1499,1535,2967,1408,942,44,10268,252,22,56,122,380,0,66,3075,459,25,302,16,19047,8272,2,HNSCC
15,0,47,3,124,5,12,118,5,464,17,6198,272,24829,13585,0,26,1,4289,3628,71,7,8603,48,0,0,8,1257,0,137,0,71,11,132,546,1,0,16,11796,103,679,1,1,8,157,3,1772,13,226,1367,0,508,4427,90,12,2324,17,11,1,3,70,32,11,0,4,19757,16,42,464,8,19165,3700,7,HNSCC
320,2,57,33,47,90,29,614,18,41,2045,447,39,4520,798,10,14,0,400,967,12,39,2920,6,0,14,31,465,52,0,0,2,0,4,531,4,78,931,259,1043,498,129,6,12,471,2,320,0,4,367,6,198,343,204,445,159,2020,2839,98,35,2,1422,27,0,155,51,0,12,22,0,682,529,39,UPPP
782,3,116,62,53,206,9,1188,27,97,2355,1516,58,7051,1025,22,15,1,534,1066,14,71,3511,23,0,37,95,496,66,3,1,10,0,27,639,5,142,1182,519,1808,1059,121,6,32,359,5,419,1,6,459,1,395,462,244,283,218,1731,2630,113,88,13,1769,46,0,278,119,6,23,32,1,808,727,87,UPPP
1431,2,70,35,40,229,33,986,9,93,2159,2210,68,10327,1429,39,9,7,594,988,26,72,4525,12,2,18,184,359,31,4,2,2,0,135,426,2,84,1676,354,1753,1058,123,18,11,289,7,473,2,11,471,4,433,856,214,620,464,1354,3900,532,384,4,1478,54,0,224,165,5,7,26,7,2706,888,16,UPPP
561,6,139,29,72,279,29,1181,35,115,2885,1236,64,7232,1092,18,18,10,596,1283,49,64,3296,8,2,8,129,1168,92,6,4,10,0,27,698,0,335,3162,478,1546,1503,109,12,41,318,2,390,2,12,423,4,437,789,207,579,294,1376,4097,111,72,4,1550,29,0,275,121,39,27,76,6,899,860,76,UPPP
839,1,91,96,33,184,8,638,22,183,4807,1658,159,10441,1430,73,12,7,742,1023,28,87,3714,17,0,13,104,754,206,5,1,5,0,33,406,0,118,1549,526,1162,781,84,35,17,728,8,444,0,6,425,2,319,869,296,194,233,1012,2912,375,126,5,1130,12,0,230,354,5,7,29,0,1228,765,21,UPPP
